PIN ASSIGNMENT
DS1554X -> M48T59
=======================
PIN   DS1554P   DS1554
=======================
1        26       1
2        NC       NC
3        NC       2
4        1        21
5        28       5
6        27       6
7        22       7
8        20       8
9        19       9
10       18       10
11       17       28
12       16       28
13       15       11
14       13       12
15       12       13
16       11       14
17       14       15
18       28       16
19       28       17
20       10       18
21       9        19
22       8        20
23       7        25
24       6        22
25       5        24
26       4        3
27       3        4
28       25       23
29       24       27
30       21       26
31       23       NC
32       2        28
33       NC       -
34       NC       -
